HUC_10,NAME,Length_m,Rating,
401010205,UNNAMED,355,HIGH,
401010205,UNNAMED,553,MED,
401010205,UNNAMED,369,MED,
401010205,UNNAMED,271,LOW,
401010205,UNNAMED,2152,MED,
401010205,UNNAMED,163,LOW,
401010205,UNNAMED,260,MED,
401010205,UNNAMED,207,MED,
401010205,UNNAMED,39,LOW,
401010205,UNNAMED,65,MED,
401010205,UNNAMED,583,MED,
401010205,UNNAMED,319,HIGH,
401010205,UNNAMED,1388,MED,
401010205,UNNAMED,495,MED,
401010205,UNNAMED,514,HIGH,
401010205,UNNAMED,4,MED,
401010205,UNNAMED,966,MED,
401010205,UNNAMED,1483,MED,
401010205,UNNAMED,359,HIGH,
401010205,UNNAMED,879,MED,
401010205,UNNAMED,514,MED,
401010205,UNNAMED,563,MED,
401010205,UNNAMED,549,MED,
401010205,UNNAMED,625,MED,
401010205,UNNAMED,684,LOW,
401010205,UNNAMED,525,LOW,
401010205,UNNAMED,1084,HIGH,
401010205,UNNAMED,588,MED,
401010205,UNNAMED,973,MED,
401010205,UNNAMED,35,MED,
401010205,UNNAMED,1656,MED,
401010205,UNNAMED,1026,MED,
401010205,UNNAMED,1620,LOW,
401010205,UNNAMED,350,LOW,
